HOG	primary_category	vizueta_like_group	confidence	chc_specificity	rationale
N0.HOG0000668	Core metabolism, bioenergetics and transport	Other	High	Not applicable	Mitochondrial cytochrome-c oxidase subunit VIa family.
N0.HOG0000679	Unknown or insufficiently characterised	Uncertain	Low	Not applicable	The '48 related 2'/dimerisation annotation is insufficient for biological assignment.
N0.HOG0000690	Gene regulation, chromatin and development	Other	High	Not applicable	Cyclin-dependent-kinase regulatory subunit family.
N0.HOG0000765	Gene regulation, chromatin and development	Other	Moderate	Not applicable	Stem-cell-tumor family, associated with germline differentiation and cell-cycle regulation in insects.
N0.HOG0000769	Core metabolism, bioenergetics and transport	Other	High	Not applicable	Voltage-dependent anion channel family involved in mitochondrial metabolite transport.
N0.HOG0000633	Core metabolism, bioenergetics and transport	Other	Moderate	Not applicable	Organic-cation transporter family.
N0.HOG0000019	Digestion and nutrient metabolism	Digestion/nutrient metabolism	Moderate	Not applicable	FAD-dependent glucose dehydrogenase indicates carbohydrate metabolism, although a gut-digestive role is not established.
N0.HOG0000269	Gene regulation, chromatin and development	Other	Moderate	Not applicable	Diversified C2H2 zinc-finger family; likely transcriptional regulation, but targets and social/caste relevance are unknown.
N0.HOG0001179	Detoxification, defence and venom	Venom	High	Not applicable	Vespid venom phospholipase A1 family. The Vespula vulgaris member LOC127066728 is the characterised venom allergen Ves v 1, and Polistes members include phospholipase A1/Pol d 1-like paralogs.
N0.HOG0000499	Core metabolism, bioenergetics and transport	Other	High	Not applicable	Mitochondrial malate dehydrogenase family.
N0.HOG0000262	Chemoperception	Chemoperception	Moderate	Not applicable	Includes an ionotropic receptor 75a-like annotation and is consistent with a chemosensory IR family, but the HOG also contains generic glutamate-receptor annotations.
N0.HOG0000295	Cytoskeleton, cilia and adhesion	Other	Moderate	Not applicable	Ankyrin/nuclear-anchorage annotation suggests structural linkage between membrane, cytoskeleton, or nucleus.
N0.HOG0000207	Lipid metabolism and potential CHC production	CHC/lipid metabolism candidate	Low	Lipid related, not CHC specific	Mixed 4-coumarate-CoA-ligase/AMP-binding/long-chain-fatty-acid-CoA-ligase annotations suggest acyl-CoA metabolism but not a resolved CHC enzyme.
N0.HOG0000203	Cytoskeleton, cilia and adhesion	Other	High	Not applicable	Skeletor family associated with mitotic spindle and nuclear/cytoskeletal organisation.
N0.HOG0000179	Cytoskeleton, cilia and adhesion	Other	Low	Not applicable	LRR15/osteomodulin-like annotation suggests extracellular or adhesion-related function, but insect function is unresolved.
N0.HOG0000163	Detoxification, defence and venom	Defence/detoxification candidate	Low	Not applicable	Insect-allergen/nitrile-specifier annotation suggests defence or detoxification, but the annotation is sparse and does not establish a venom role.
N0.HOG0000222	Cytoskeleton, cilia and adhesion	Other	High	Not applicable	Tropomyosin family.
N0.HOG0000056	Detoxification, defence and venom	CHC/lipid metabolism candidate	Low	P450 subfamily unresolved	Predominantly CYP4C1/4C3-like rather than CYP4G; detoxification or lipid oxidation is more defensible than CHC biosynthesis.
N0.HOG0000114	Lipid metabolism and potential CHC production	CHC/lipid metabolism	Moderate	Plausible upstream CHC pathway component	Fatty acid synthase supplies lipid and potential CHC precursors, but is not CHC specific.
N0.HOG0000050	Chemoperception	Chemoperception	High	Not applicable	Odorant receptor family.
N0.HOG0000042	Chemoperception	Chemoperception	High	Not applicable	Odorant receptor family.
N0.HOG0000155	Gene regulation, chromatin and development	Other	High	Not applicable	Histone H1-like chromatin protein family.
N0.HOG0000162	Lipid metabolism and potential CHC production	CHC/lipid metabolism	Moderate	Plausible upstream CHC pathway component	ELOVL-like very-long-chain fatty-acid elongase is a plausible upstream CHC-pathway enzyme, but also serves other lipid pathways.
N0.HOG0001384	Gene regulation, chromatin and development	Other	Moderate	Not applicable	RING-finger protein 212B/narya-like family, consistent with ubiquitin-mediated meiotic or cell-cycle regulation.
N0.HOG0010095	Unknown or insufficiently characterised	Uncertain	Low	Not applicable	Conflicting serine-rich adhesin and Ras-GEF-Q-like annotations do not support a stable functional assignment.
N0.HOG0001351	Protein synthesis and RNA/protein processing	Other	High	Not applicable	Ribosomal protein family.
N0.HOG0001284	Protein synthesis and RNA/protein processing	Other	High	Not applicable	Ribosomal protein family.
N0.HOG0001246	Cytoskeleton, cilia and adhesion	Other	Moderate	Not applicable	Cilia- and flagella-associated protein 47 family.
N0.HOG0001157	Neural, endocrine and behavioural signalling	Endocrine/behavioural signalling	Moderate	Not applicable	Foraging/PKG family affects feeding, locomotion, metabolism, learning, stress and social behaviour; it is signalling-related but not a canonical endocrine-hormone enzyme.
N0.HOG0001139	Gene regulation, chromatin and development	Other	High	Not applicable	TAF9 general transcription-factor family.
N0.HOG0000484	Cytoskeleton, cilia and adhesion	Other	High	Not applicable	Tubulin family.
N0.HOG0000817	Cytoskeleton, cilia and adhesion	Other	Moderate	Not applicable	Thrombospondin-repeat protein family, consistent with extracellular interactions or adhesion.
N0.HOG0000808	Gene regulation, chromatin and development	Other	Low	Not applicable	Only a broad 'negative regulation of cell proliferation' annotation is available and the member-level annotation is weak.
N0.HOG0000794	Gene regulation, chromatin and development	Other	High	Not applicable	Replication protein A2 family involved in DNA replication and repair.
N0.HOG0000744	Cytoskeleton, cilia and adhesion	Other	High	Not applicable	CFAP251/WDR66 family involved in cilia or flagella.
N0.HOG0000442	Detoxification, defence and venom	CHC/lipid metabolism candidate	Low	P450 subfamily unresolved	Very small P450 HOG with CYP4C1-like annotation; no resolved CYP4G assignment supports a specific CHC claim.
N0.HOG0000854	Lipid metabolism and potential CHC production	CHC/lipid metabolism candidate	Moderate	Lipid related, not CHC specific	Lipid-storage-droplet surface protein, relevant to lipid handling but not a canonical CHC-biosynthetic enzyme.
N0.HOG0000069	Digestion and nutrient metabolism	Digestion	High	Not applicable	Maltase/glucosidase family directly consistent with carbohydrate digestion.
N0.HOG0000094	Detoxification, defence and venom	Other	High	Not applicable	UDP-glucuronosyltransferase family involved in xenobiotic and endogenous-compound conjugation.
N0.HOG0000223	Protein synthesis and RNA/protein processing	Digestion candidate	Low	Not applicable	Transmembrane serine protease 9-like supports extracellular or membrane-associated proteolysis; a digestive role is possible but not established.
